mandi_name,yr,month_num,avg_price,avg_price_last_year,yoy_change_rs,yoy_change_pct,days_this_year,days_last_year
Lasalgaon(Vinchur) APMC,2025,7,1428.0,2827.0,-1399.0,-49.5,23,27.0
Lasalgaon(Vinchur) APMC,2025,8,1430.0,,,,21,
Lasalgaon(Vinchur) APMC,2024,9,4274.0,,,,22,
Lasalgaon(Vinchur) APMC,2025,9,1190.0,4274.0,-3084.0,-72.2,24,22.0
Lasalgaon(Vinchur) APMC,2024,10,4230.0,,,,22,
Lasalgaon(Vinchur) APMC,2025,10,1189.0,4230.0,-3041.0,-71.9,17,22.0
Lasalgaon(Vinchur) APMC,2024,11,4383.0,,,,21,
Lasalgaon(Vinchur) APMC,2025,11,1347.0,4383.0,-3037.0,-69.3,22,21.0
Lasalgaon(Vinchur) APMC,2024,12,2752.0,,,,26,
Lasalgaon(Vinchur) APMC,2025,12,1740.0,2752.0,-1012.0,-36.8,27,26.0
Mangal Wedha APMC,2025,1,2505.0,,,,27,
Mangal Wedha APMC,2026,1,1299.0,2505.0,-1207.0,-48.2,22,27.0
Mangal Wedha APMC,2025,2,2320.0,,,,20,
Mangal Wedha APMC,2026,2,1080.0,2320.0,-1240.0,-53.5,22,20.0
Mangal Wedha APMC,2025,3,1683.0,,,,25,
Mangal Wedha APMC,2026,3,1022.0,1683.0,-661.0,-39.3,23,25.0
Mangal Wedha APMC,2025,4,1125.0,,,,25,
Mangal Wedha APMC,2026,4,818.0,1125.0,-307.0,-27.3,25,25.0
Mangal Wedha APMC,2025,5,998.0,,,,24,
Mangal Wedha APMC,2026,5,895.0,998.0,-102.0,-10.3,27,24.0
Mangal Wedha APMC,2024,6,2492.0,,,,20,
Mangal Wedha APMC,2025,6,1235.0,2492.0,-1257.0,-50.4,22,20.0
Mangal Wedha APMC,2026,6,1579.0,1235.0,344.0,27.9,22,22.0
Mangal Wedha APMC,2024,7,2813.0,,,,19,
Mangal Wedha APMC,2025,7,1477.0,2813.0,-1336.0,-47.5,21,19.0
Mangal Wedha APMC,2025,8,1454.0,,,,20,
Mangal Wedha APMC,2024,9,3686.0,,,,22,
Mangal Wedha APMC,2025,9,1175.0,3686.0,-2511.0,-68.1,19,22.0
Mangal Wedha APMC,2024,10,2435.0,,,,24,
Mangal Wedha APMC,2025,10,1219.0,2435.0,-1217.0,-50.0,22,24.0
Mangal Wedha APMC,2024,11,3010.0,,,,22,
Mangal Wedha APMC,2025,11,903.0,3010.0,-2107.0,-70.0,25,22.0
Mangal Wedha APMC,2024,12,3324.0,,,,25,
Mangal Wedha APMC,2025,12,1119.0,3324.0,-2205.0,-66.3,22,25.0
Nasik APMC,2025,1,2124.0,,,,27,
Nasik APMC,2026,1,1374.0,2124.0,-750.0,-35.3,22,27.0
Nasik APMC,2025,2,2400.0,,,,20,
Nasik APMC,2026,2,1105.0,2400.0,-1295.0,-54.0,21,20.0
Nasik APMC,2025,3,1726.0,,,,24,
Nasik APMC,2026,3,830.0,1726.0,-896.0,-51.9,21,24.0
Nasik APMC,2025,4,1070.0,,,,21,
Nasik APMC,2026,4,839.0,1070.0,-231.0,-21.6,24,21.0
Nasik APMC,2025,5,832.0,,,,25,
Nasik APMC,2026,5,876.0,832.0,45.0,5.4,22,25.0
Nasik APMC,2024,6,2350.0,,,,23,
Nasik APMC,2025,6,1146.0,2350.0,-1204.0,-51.2,22,23.0
Nasik APMC,2026,6,1556.0,1146.0,410.0,35.8,24,22.0
Nasik APMC,2024,7,2606.0,,,,27,
Nasik APMC,2025,7,983.0,2606.0,-1623.0,-62.3,23,27.0
Nasik APMC,2025,8,1029.0,,,,21,
Nasik APMC,2024,9,4083.0,,,,24,
Nasik APMC,2025,9,907.0,4083.0,-3176.0,-77.8,25,24.0
Nasik APMC,2024,10,3628.0,,,,25,
Nasik APMC,2025,10,1002.0,3628.0,-2626.0,-72.4,17,25.0
Nasik APMC,2024,11,4655.0,,,,19,
Nasik APMC,2025,11,1183.0,4655.0,-3473.0,-74.6,22,19.0
Nasik APMC,2024,12,2649.0,,,,24,
Nasik APMC,2025,12,1258.0,2649.0,-1391.0,-52.5,26,24.0
Pimpalgaon Baswant APMC,2025,1,2208.0,,,,26,
Pimpalgaon Baswant APMC,2026,1,1385.0,2208.0,-822.0,-37.2,24,26.0
Pimpalgaon Baswant APMC,2025,2,2338.0,,,,21,
Pimpalgaon Baswant APMC,2026,2,1052.0,2338.0,-1286.0,-55.0,23,21.0
Pimpalgaon Baswant APMC,2025,3,1641.0,,,,22,
Pimpalgaon Baswant APMC,2026,3,1054.0,1641.0,-588.0,-35.8,22,22.0
Pimpalgaon Baswant APMC,2025,4,1161.0,,,,24,
Pimpalgaon Baswant APMC,2026,4,1106.0,1161.0,-55.0,-4.8,25,24.0
Pimpalgaon Baswant APMC,2025,5,1227.0,,,,24,
Pimpalgaon Baswant APMC,2026,5,1223.0,1227.0,-4.0,-0.3,25,24.0
Pimpalgaon Baswant APMC,2024,6,2692.0,,,,25,
Pimpalgaon Baswant APMC,2025,6,1567.0,2692.0,-1125.0,-41.8,25,25.0
Pimpalgaon Baswant APMC,2026,6,1838.0,1567.0,270.0,17.2,26,25.0
Pimpalgaon Baswant APMC,2024,7,2810.0,,,,26,
Pimpalgaon Baswant APMC,2025,7,1391.0,2810.0,-1419.0,-50.5,26,26.0
Pimpalgaon Baswant APMC,2025,8,1435.0,,,,22,
Pimpalgaon Baswant APMC,2024,9,4297.0,,,,21,
Pimpalgaon Baswant APMC,2025,9,1220.0,4297.0,-3077.0,-71.6,24,21.0
Pimpalgaon Baswant APMC,2024,10,4360.0,,,,21,
Pimpalgaon Baswant APMC,2025,10,1277.0,4360.0,-3082.0,-70.7,21,21.0
Pimpalgaon Baswant APMC,2024,11,4891.0,,,,22,
Pimpalgaon Baswant APMC,2025,11,1435.0,4891.0,-3456.0,-70.7,20,22.0
Pimpalgaon Baswant APMC,2024,12,2975.0,,,,26,
Pimpalgaon Baswant APMC,2025,12,1838.0,2975.0,-1136.0,-38.2,26,26.0
Pune APMC,2025,1,2233.0,,,,26,
Pune APMC,2026,1,1203.0,2233.0,-1030.0,-46.1,20,26.0
Pune APMC,2025,2,2118.0,,,,20,
Pune APMC,2026,2,959.0,2118.0,-1158.0,-54.7,22,20.0
Pune APMC,2025,3,1442.0,,,,25,
Pune APMC,2026,3,867.0,1442.0,-575.0,-39.8,23,25.0
Pune APMC,2025,4,1090.0,,,,25,
Pune APMC,2026,4,835.0,1090.0,-255.0,-23.4,23,25.0
Pune APMC,2025,5,1007.0,,,,23,
Pune APMC,2026,5,936.0,1007.0,-71.0,-7.0,21,23.0
Pune APMC,2024,6,1910.0,,,,25,
Pune APMC,2025,6,1202.0,1910.0,-708.0,-37.1,25,25.0
Pune APMC,2026,6,1354.0,1202.0,152.0,12.6,25,25.0
Pune APMC,2024,7,2138.0,,,,26,
Pune APMC,2025,7,1544.0,2138.0,-595.0,-27.8,24,26.0
Pune APMC,2025,8,1119.0,,,,25,
Pune APMC,2024,9,3825.0,,,,24,
Pune APMC,2025,9,1334.0,3825.0,-2491.0,-65.1,25,24.0
Pune APMC,2024,10,3348.0,,,,24,
Pune APMC,2025,10,1000.0,3348.0,-2348.0,-70.1,24,24.0
Pune APMC,2024,11,4207.0,,,,23,
Pune APMC,2025,11,1111.0,4207.0,-3096.0,-73.6,23,23.0
Pune APMC,2024,12,3392.0,,,,26,
Pune APMC,2025,12,1388.0,3392.0,-2005.0,-59.1,24,26.0
Pune(Manjri) APMC,2025,1,2780.0,,,,30,
Pune(Manjri) APMC,2026,1,1043.0,2780.0,-1737.0,-62.5,28,30.0
Pune(Manjri) APMC,2025,2,2576.0,,,,25,
Pune(Manjri) APMC,2026,2,1129.0,2576.0,-1447.0,-56.2,28,25.0
Pune(Manjri) APMC,2025,3,2013.0,,,,30,
Pune(Manjri) APMC,2026,3,1039.0,2013.0,-974.0,-48.4,28,30.0
Pune(Manjri) APMC,2025,4,1262.0,,,,29,
Pune(Manjri) APMC,2026,4,917.0,1262.0,-345.0,-27.3,29,29.0
Pune(Manjri) APMC,2025,5,862.0,,,,26,
Pune(Manjri) APMC,2026,5,917.0,862.0,56.0,6.5,29,26.0
Pune(Manjri) APMC,2024,6,2117.0,,,,30,
